cluster	gene
290	AT1G63650
290	AT4G26810
290	AT5G08565
290	AT5G44490
290	AT5G57920
290	ATCG00790
291	AT1G02980
292	AT1G58150
293	AT1G61560
294	AT1G74420
295	AT1G62380
296	AT1G09090
296	AT4G01680
297	AT2G30170
298	AT4G27740
299	AT5G22090
300	AT3G29110
301	AT5G21960
302	AT1G50590
302	AT1G80440
302	AT3G11660
302	AT5G62420
303	AT1G12370
303	AT2G36980
303	AT2G46450
303	AT3G03030
303	AT4G04850
303	AT5G15725
303	AT5G50390
304	AT5G42690
305	AT1G05810
306	AT1G30545
306	AT1G44810
306	AT1G47820
306	AT1G70895
306	AT2G26860
306	AT3G11745
306	AT5G14000
306	AT5G50150
307	AT1G22880
307	AT1G50720
307	AT2G21590
307	AT4G34480
307	AT5G54510
308	AT1G66050
308	AT3G18050
308	AT4G34881
308	AT5G21020
308	ATCG00500
309	AT1G11125
309	AT2G18860
309	AT2G24395
309	AT5G51110
309	ATCG00080
309	ATCG00820
310	AT3G05675
310	AT4G14590
310	AT4G21410
310	AT5G08650
310	AT5G19840
311	AT1G06900
311	AT1G49630
311	AT1G62830
311	AT1G72410
311	AT1G79190
311	AT2G34150
311	AT2G39810
311	AT2G39930
311	AT3G18524
311	AT3G18730
311	AT3G25690
311	AT4G01860
311	AT4G38440
311	AT5G18750
311	AT5G52910
311	AT5G55820
311	AT5G65560
311	AT5G67100
312	AT1G45130
312	AT2G19090
312	AT2G39300
312	AT3G59420
312	AT4G00370
312	AT4G33010
313	AT1G02060
313	AT1G13030
313	AT1G15910
313	AT1G54310
313	AT1G55490
313	AT1G63660
313	AT1G63980
313	AT2G19385
313	AT2G19870
313	AT2G28450
313	AT2G34900
313	AT2G39670
313	AT2G43650
313	AT2G44040
313	AT2G47420
313	AT2G47790
313	AT3G03710
313	AT3G15590
313	AT3G16840
313	AT3G18750
313	AT3G25470
313	AT3G53460
313	AT3G56570
313	AT4G07410
313	AT4G11240
313	AT4G27490
313	AT5G08620
313	AT5G15810
313	AT5G26742
313	AT5G39550
313	AT5G52820
313	AT5G61330
313	AT5G62190
314	AT1G09900
314	AT1G51130
314	AT1G51310
314	AT1G53200
314	AT1G56260
314	AT1G70200
314	AT3G17170
314	AT3G46610
314	AT3G51530
314	AT3G53940
314	AT3G54090
314	AT4G01037
314	AT4G29820
314	AT5G16620
314	AT5G25800
314	ATCG00800
315	AT4G15230
316	AT1G28140
316	AT3G54363
317	AT3G24420
317	AT5G07820
318	AT1G14470
318	AT1G43765
318	AT1G55110
318	AT1G64690
318	AT1G74580
318	AT3G09650
318	AT3G12340
318	AT5G14960
318	AT5G48960
318	AT5G59980
318	AT5G65570
318	ATCG01130
319	AT3G61340
320	AT1G34500
320	AT2G23410
320	AT3G11370
320	AT5G23530
321	AT3G20460
322	AT1G06670
322	AT1G48650
322	AT1G68990
322	AT1G74260
322	AT1G78730
322	AT2G06990
322	AT2G34357
322	AT3G06530
322	AT3G20440
322	AT3G49410
322	AT3G52140
322	AT3G53360
322	AT3G57660
322	AT4G12750
322	AT4G16765
322	AT4G17610
322	AT4G23540
322	AT4G27010
322	AT4G30150
322	AT4G30990
322	AT5G27270
322	AT5G40480
323	AT3G12700
323	AT3G20860
323	AT5G25110
324	AT2G25710
324	AT3G47360
324	AT5G25580
324	AT5G64320
325	AT1G06143
325	AT1G20065
325	AT1G35530
325	AT2G21860
325	AT3G09150
325	AT3G17626
325	AT3G21260
325	AT4G32270
325	AT5G09460
325	AT5G37570
